age,edu_level,fav_animals,fav_place,gender,experience,industry,motivation,Cluster,Cluster_Description
35-44,Wyższe,Inne,Nad wodą,Mężczyzna,Powyżej 10 lat,Wellness,Pasja,Cluster 6,"{'name': 'Doświadczeni nad wodą z psami', 'description': 'W tym klastrze znajdują się osoby w wieku 35-44 lat, z wyższym wykształceniem, które preferują spędzanie czasu nad wodą i lubią psy. Większość z nich ma ponad 10 lat doświadczenia zawodowego i pracuje w różnych branżach, takich jak automotive, wellness czy budowlana. Ich motywacją jest rozwój osobisty i pasja.'}"
35-44,Średnie,Brak ulubionych,,Kobieta,Powyżej 10 lat,Finanse,Rozwój osobisty,Cluster 6,"{'name': 'Doświadczeni nad wodą z psami', 'description': 'W tym klastrze znajdują się osoby w wieku 35-44 lat, z wyższym wykształceniem, które preferują spędzanie czasu nad wodą i lubią psy. Większość z nich ma ponad 10 lat doświadczenia zawodowego i pracuje w różnych branżach, takich jak automotive, wellness czy budowlana. Ich motywacją jest rozwój osobisty i pasja.'}"
35-44,Wyższe,Koty i Psy,W górach,Kobieta,Powyżej 10 lat,Motoryzacja,Polecenie znajomych,Cluster 3,"{'name': 'Miłośnicy gór i kotów', 'description': 'W tym klastrze znajdują się osoby w wieku 35-44 lat, z wyższym wykształceniem, które preferują spędzanie czasu w górach i lubią koty. Większość z nich ma ponad 10 lat doświadczenia zawodowego i pracuje w logistyce, usługach czy produkcji. Ich motywacją jest rozwój osobisty, pasja i większe zarobki.'}"
35-44,Wyższe,Koty,W górach,Mężczyzna,Powyżej 10 lat,Logistyka,Nowa kariera,Cluster 3,"{'name': 'Miłośnicy gór i kotów', 'description': 'W tym klastrze znajdują się osoby w wieku 35-44 lat, z wyższym wykształceniem, które preferują spędzanie czasu w górach i lubią koty. Większość z nich ma ponad 10 lat doświadczenia zawodowego i pracuje w logistyce, usługach czy produkcji. Ich motywacją jest rozwój osobisty, pasja i większe zarobki.'}"
>=65,Wyższe,Brak ulubionych,W górach,Mężczyzna,Powyżej 10 lat,Inżynieria,Nowa kariera,Cluster 3,"{'name': 'Miłośnicy gór i kotów', 'description': 'W tym klastrze znajdują się osoby w wieku 35-44 lat, z wyższym wykształceniem, które preferują spędzanie czasu w górach i lubią koty. Większość z nich ma ponad 10 lat doświadczenia zawodowego i pracuje w logistyce, usługach czy produkcji. Ich motywacją jest rozwój osobisty, pasja i większe zarobki.'}"
45-54,Wyższe,Inne,Inne,Mężczyzna,3-5,R&D,Polecenie znajomych,Cluster 4,"{'name': 'Kreatywni w lesie', 'description': 'W tym klastrze znajdują się osoby w wieku 45-54 lat, z wyższym wykształceniem, które preferują spędzanie czasu w lesie i lubią koty. Większość z nich ma ponad 10 lat doświadczenia zawodowego i pracuje w e-commerce, motoryzacji czy obsłudze klienta. Ich główną motywacją jest pasja.'}"
45-54,Wyższe,Psy,Nad wodą,Mężczyzna,1-2,Nieruchomości,Pasja,Cluster 0,"{'name': 'Doświadczeni nad wodą', 'description': 'W tym klastrze znajdują się osoby w wieku 35-44 lat, z wyższym wykształceniem, które preferują spędzanie czasu nad wodą. Większość z nich ma doświadczenie zawodowe od 6 do 10 lat i pracuje w różnych branżach, takich jak IT, automatyzacja czy transport. Ich motywacją jest często nowa kariera lub pasja.'}"
35-44,Wyższe,Psy,Nad wodą,Mężczyzna,3-5,Logistyka i Transport,Nowa kariera,Cluster 0,"{'name': 'Doświadczeni nad wodą', 'description': 'W tym klastrze znajdują się osoby w wieku 35-44 lat, z wyższym wykształceniem, które preferują spędzanie czasu nad wodą. Większość z nich ma doświadczenie zawodowe od 6 do 10 lat i pracuje w różnych branżach, takich jak IT, automatyzacja czy transport. Ich motywacją jest często nowa kariera lub pasja.'}"
25-34,Wyższe,Psy,Nad wodą,Kobieta,Powyżej 10 lat,E-commerce,Pasja,Cluster 6,"{'name': 'Doświadczeni nad wodą z psami', 'description': 'W tym klastrze znajdują się osoby w wieku 35-44 lat, z wyższym wykształceniem, które preferują spędzanie czasu nad wodą i lubią psy. Większość z nich ma ponad 10 lat doświadczenia zawodowego i pracuje w różnych branżach, takich jak automotive, wellness czy budowlana. Ich motywacją jest rozwój osobisty i pasja.'}"
35-44,Wyższe,Inne,Nad wodą,Kobieta,3-5,Architektura,Nowa kariera,Cluster 0,"{'name': 'Doświadczeni nad wodą', 'description': 'W tym klastrze znajdują się osoby w wieku 35-44 lat, z wyższym wykształceniem, które preferują spędzanie czasu nad wodą. Większość z nich ma doświadczenie zawodowe od 6 do 10 lat i pracuje w różnych branżach, takich jak IT, automatyzacja czy transport. Ich motywacją jest często nowa kariera lub pasja.'}"
55-64,Wyższe,Psy,Nad wodą,Mężczyzna,Powyżej 10 lat,IT,Nowa kariera,Cluster 2,"{'name': 'Karierowicze w lesie', 'description': 'W tym klastrze znajdują się osoby w wieku 45-54 lat, z wyższym wykształceniem, które preferują spędzanie czasu w lesie. Większość z nich ma ponad 10 lat doświadczenia zawodowego i pracuje w administracji publicznej, nieruchomościach czy motoryzacji. Ich główną motywacją jest nowa kariera.'}"
55-64,Wyższe,Psy,Nad wodą,Mężczyzna,Powyżej 10 lat,Finanse,Większe zarobki,Cluster 6,"{'name': 'Doświadczeni nad wodą z psami', 'description': 'W tym klastrze znajdują się osoby w wieku 35-44 lat, z wyższym wykształceniem, które preferują spędzanie czasu nad wodą i lubią psy. Większość z nich ma ponad 10 lat doświadczenia zawodowego i pracuje w różnych branżach, takich jak automotive, wellness czy budowlana. Ich motywacją jest rozwój osobisty i pasja.'}"
45-54,Wyższe,Koty i Psy,,Mężczyzna,Powyżej 10 lat,Energetyka zawodowa,Nowa kariera,Cluster 2,"{'name': 'Karierowicze w lesie', 'description': 'W tym klastrze znajdują się osoby w wieku 45-54 lat, z wyższym wykształceniem, które preferują spędzanie czasu w lesie. Większość z nich ma ponad 10 lat doświadczenia zawodowego i pracuje w administracji publicznej, nieruchomościach czy motoryzacji. Ich główną motywacją jest nowa kariera.'}"
35-44,Wyższe,Psy,W górach,Mężczyzna,Powyżej 10 lat,Ochrona środowiska,Rozwój osobisty,Cluster 3,"{'name': 'Miłośnicy gór i kotów', 'description': 'W tym klastrze znajdują się osoby w wieku 35-44 lat, z wyższym wykształceniem, które preferują spędzanie czasu w górach i lubią koty. Większość z nich ma ponad 10 lat doświadczenia zawodowego i pracuje w logistyce, usługach czy produkcji. Ich motywacją jest rozwój osobisty, pasja i większe zarobki.'}"
35-44,Wyższe,Psy,W lesie,Kobieta,Powyżej 10 lat,Obsługa klienta,Polecenie znajomych,Cluster 5,"{'name': 'Poleceni profesjonaliści', 'description': 'W tym klastrze znajdują się osoby w wieku 45-54 lat, z wyższym wykształceniem, które preferują spędzanie czasu w górach. Większość z nich ma ponad 10 lat doświadczenia zawodowego i pracuje w energetyce zawodowej, obsłudze klienta czy nieruchomościach. Ich główną motywacją są polecenia znajomych.'}"
55-64,Wyższe,Koty i Psy,Nad wodą,Mężczyzna,6-10,Automatyzacja,Polecenie znajomych,Cluster 0,"{'name': 'Doświadczeni nad wodą', 'description': 'W tym klastrze znajdują się osoby w wieku 35-44 lat, z wyższym wykształceniem, które preferują spędzanie czasu nad wodą. Większość z nich ma doświadczenie zawodowe od 6 do 10 lat i pracuje w różnych branżach, takich jak IT, automatyzacja czy transport. Ich motywacją jest często nowa kariera lub pasja.'}"
35-44,Wyższe,Psy,,Kobieta,Powyżej 10 lat,Bezpieczeństwo,Pasja,Cluster 6,"{'name': 'Doświadczeni nad wodą z psami', 'description': 'W tym klastrze znajdują się osoby w wieku 35-44 lat, z wyższym wykształceniem, które preferują spędzanie czasu nad wodą i lubią psy. Większość z nich ma ponad 10 lat doświadczenia zawodowego i pracuje w różnych branżach, takich jak automotive, wellness czy budowlana. Ich motywacją jest rozwój osobisty i pasja.'}"
25-34,Wyższe,Psy,W lesie,Kobieta,Powyżej 10 lat,Automatyzacja,Nowa kariera,Cluster 2,"{'name': 'Karierowicze w lesie', 'description': 'W tym klastrze znajdują się osoby w wieku 45-54 lat, z wyższym wykształceniem, które preferują spędzanie czasu w lesie. Większość z nich ma ponad 10 lat doświadczenia zawodowego i pracuje w administracji publicznej, nieruchomościach czy motoryzacji. Ich główną motywacją jest nowa kariera.'}"
35-44,Wyższe,Psy,,Mężczyzna,Powyżej 10 lat,Energetyka,Rozwój osobisty,Cluster 6,"{'name': 'Doświadczeni nad wodą z psami', 'description': 'W tym klastrze znajdują się osoby w wieku 35-44 lat, z wyższym wykształceniem, które preferują spędzanie czasu nad wodą i lubią psy. Większość z nich ma ponad 10 lat doświadczenia zawodowego i pracuje w różnych branżach, takich jak automotive, wellness czy budowlana. Ich motywacją jest rozwój osobisty i pasja.'}"
25-34,Wyższe,Inne,W górach,Mężczyzna,Powyżej 10 lat,Opieka,Pasja,Cluster 1,"{'name': 'Młodzi profesjonaliści', 'description': 'W tym klastrze znajdują się głównie młodsze osoby w wieku 25-34 lat, z wyższym wykształceniem, które preferują spędzanie czasu w górach. Większość z nich ma ponad 10 lat doświadczenia zawodowego i pracuje w finansach, inżynierii czy e-commerce. Ich główną motywacją są większe zarobki.'}"
55-64,Wyższe,Psy,,Mężczyzna,Powyżej 10 lat,Produkcja,Większe zarobki,Cluster 6,"{'name': 'Doświadczeni nad wodą z psami', 'description': 'W tym klastrze znajdują się osoby w wieku 35-44 lat, z wyższym wykształceniem, które preferują spędzanie czasu nad wodą i lubią psy. Większość z nich ma ponad 10 lat doświadczenia zawodowego i pracuje w różnych branżach, takich jak automotive, wellness czy budowlana. Ich motywacją jest rozwój osobisty i pasja.'}"
18-24,Średnie,Psy,W górach,Mężczyzna,6-10,Produkcja,Pasja,Cluster 7,"{'name': 'Średnio wykształceni górale', 'description': 'W tym klastrze znajdują się osoby w wieku 25-54 lat, ze średnim wykształceniem, które preferują spędzanie czasu w górach. Większość z nich ma ponad 10 lat doświadczenia zawodowego i pracuje w IT, transporcie czy ochronie środowiska. Ich główną motywacją są polecenia znajomych i nowa kariera.'}"
35-44,Wyższe,Psy,Nad wodą,Kobieta,Powyżej 10 lat,Automatyka i robotyka,Pasja,Cluster 6,"{'name': 'Doświadczeni nad wodą z psami', 'description': 'W tym klastrze znajdują się osoby w wieku 35-44 lat, z wyższym wykształceniem, które preferują spędzanie czasu nad wodą i lubią psy. Większość z nich ma ponad 10 lat doświadczenia zawodowego i pracuje w różnych branżach, takich jak automotive, wellness czy budowlana. Ich motywacją jest rozwój osobisty i pasja.'}"
45-54,Wyższe,Psy,,Mężczyzna,Powyżej 10 lat,Obsługa klienta,Nowa kariera,Cluster 2,"{'name': 'Karierowicze w lesie', 'description': 'W tym klastrze znajdują się osoby w wieku 45-54 lat, z wyższym wykształceniem, które preferują spędzanie czasu w lesie. Większość z nich ma ponad 10 lat doświadczenia zawodowego i pracuje w administracji publicznej, nieruchomościach czy motoryzacji. Ich główną motywacją jest nowa kariera.'}"
35-44,Wyższe,Inne,Inne,Kobieta,Powyżej 10 lat,Finanse,Większe zarobki,Cluster 1,"{'name': 'Młodzi profesjonaliści', 'description': 'W tym klastrze znajdują się głównie młodsze osoby w wieku 25-34 lat, z wyższym wykształceniem, które preferują spędzanie czasu w górach. Większość z nich ma ponad 10 lat doświadczenia zawodowego i pracuje w finansach, inżynierii czy e-commerce. Ich główną motywacją są większe zarobki.'}"
45-54,Wyższe,Psy,Nad wodą,Kobieta,Powyżej 10 lat,Poligrafia,Pasja,Cluster 6,"{'name': 'Doświadczeni nad wodą z psami', 'description': 'W tym klastrze znajdują się osoby w wieku 35-44 lat, z wyższym wykształceniem, które preferują spędzanie czasu nad wodą i lubią psy. Większość z nich ma ponad 10 lat doświadczenia zawodowego i pracuje w różnych branżach, takich jak automotive, wellness czy budowlana. Ich motywacją jest rozwój osobisty i pasja.'}"
35-44,Wyższe,Brak ulubionych,W górach,Mężczyzna,Powyżej 10 lat,Marketing,Rozwój osobisty,Cluster 3,"{'name': 'Miłośnicy gór i kotów', 'description': 'W tym klastrze znajdują się osoby w wieku 35-44 lat, z wyższym wykształceniem, które preferują spędzanie czasu w górach i lubią koty. Większość z nich ma ponad 10 lat doświadczenia zawodowego i pracuje w logistyce, usługach czy produkcji. Ich motywacją jest rozwój osobisty, pasja i większe zarobki.'}"
45-54,Średnie,Psy,W górach,Mężczyzna,Powyżej 10 lat,IT,Rozwój osobisty,Cluster 7,"{'name': 'Średnio wykształceni górale', 'description': 'W tym klastrze znajdują się osoby w wieku 25-54 lat, ze średnim wykształceniem, które preferują spędzanie czasu w górach. Większość z nich ma ponad 10 lat doświadczenia zawodowego i pracuje w IT, transporcie czy ochronie środowiska. Ich główną motywacją są polecenia znajomych i nowa kariera.'}"
25-34,Wyższe,Psy,Nad wodą,Mężczyzna,Powyżej 10 lat,Nieruchomości,Polecenie znajomych,Cluster 5,"{'name': 'Poleceni profesjonaliści', 'description': 'W tym klastrze znajdują się osoby w wieku 45-54 lat, z wyższym wykształceniem, które preferują spędzanie czasu w górach. Większość z nich ma ponad 10 lat doświadczenia zawodowego i pracuje w energetyce zawodowej, obsłudze klienta czy nieruchomościach. Ich główną motywacją są polecenia znajomych.'}"
35-44,Wyższe,Psy,Nad wodą,Mężczyzna,Powyżej 10 lat,Automotive,Większe zarobki,Cluster 6,"{'name': 'Doświadczeni nad wodą z psami', 'description': 'W tym klastrze znajdują się osoby w wieku 35-44 lat, z wyższym wykształceniem, które preferują spędzanie czasu nad wodą i lubią psy. Większość z nich ma ponad 10 lat doświadczenia zawodowego i pracuje w różnych branżach, takich jak automotive, wellness czy budowlana. Ich motywacją jest rozwój osobisty i pasja.'}"
25-34,Wyższe,Inne,W lesie,Mężczyzna,Powyżej 10 lat,IT,Większe zarobki,Cluster 1,"{'name': 'Młodzi profesjonaliści', 'description': 'W tym klastrze znajdują się głównie młodsze osoby w wieku 25-34 lat, z wyższym wykształceniem, które preferują spędzanie czasu w górach. Większość z nich ma ponad 10 lat doświadczenia zawodowego i pracuje w finansach, inżynierii czy e-commerce. Ich główną motywacją są większe zarobki.'}"
25-34,Średnie,Psy,W górach,Mężczyzna,Powyżej 10 lat,Gastronomia,Polecenie znajomych,Cluster 7,"{'name': 'Średnio wykształceni górale', 'description': 'W tym klastrze znajdują się osoby w wieku 25-54 lat, ze średnim wykształceniem, które preferują spędzanie czasu w górach. Większość z nich ma ponad 10 lat doświadczenia zawodowego i pracuje w IT, transporcie czy ochronie środowiska. Ich główną motywacją są polecenia znajomych i nowa kariera.'}"
45-54,Średnie,Inne,W lesie,Mężczyzna,Powyżej 10 lat,E-commerce,Pasja,Cluster 4,"{'name': 'Kreatywni w lesie', 'description': 'W tym klastrze znajdują się osoby w wieku 45-54 lat, z wyższym wykształceniem, które preferują spędzanie czasu w lesie i lubią koty. Większość z nich ma ponad 10 lat doświadczenia zawodowego i pracuje w e-commerce, motoryzacji czy obsłudze klienta. Ich główną motywacją jest pasja.'}"
unknown,Wyższe,Psy,Nad wodą,Kobieta,Powyżej 10 lat,Ochrona środowiska,Większe zarobki,Cluster 6,"{'name': 'Doświadczeni nad wodą z psami', 'description': 'W tym klastrze znajdują się osoby w wieku 35-44 lat, z wyższym wykształceniem, które preferują spędzanie czasu nad wodą i lubią psy. Większość z nich ma ponad 10 lat doświadczenia zawodowego i pracuje w różnych branżach, takich jak automotive, wellness czy budowlana. Ich motywacją jest rozwój osobisty i pasja.'}"
35-44,Wyższe,Psy,W lesie,Mężczyzna,Powyżej 10 lat,Bezpieczeństwo,Rozwój osobisty,Cluster 6,"{'name': 'Doświadczeni nad wodą z psami', 'description': 'W tym klastrze znajdują się osoby w wieku 35-44 lat, z wyższym wykształceniem, które preferują spędzanie czasu nad wodą i lubią psy. Większość z nich ma ponad 10 lat doświadczenia zawodowego i pracuje w różnych branżach, takich jak automotive, wellness czy budowlana. Ich motywacją jest rozwój osobisty i pasja.'}"
45-54,Wyższe,Psy,W lesie,Mężczyzna,Powyżej 10 lat,Kadry (HR),Rozwój osobisty,Cluster 2,"{'name': 'Karierowicze w lesie', 'description': 'W tym klastrze znajdują się osoby w wieku 45-54 lat, z wyższym wykształceniem, które preferują spędzanie czasu w lesie. Większość z nich ma ponad 10 lat doświadczenia zawodowego i pracuje w administracji publicznej, nieruchomościach czy motoryzacji. Ich główną motywacją jest nowa kariera.'}"
55-64,Wyższe,Psy,W lesie,Mężczyzna,Powyżej 10 lat,Motoryzacja,Nowa kariera,Cluster 2,"{'name': 'Karierowicze w lesie', 'description': 'W tym klastrze znajdują się osoby w wieku 45-54 lat, z wyższym wykształceniem, które preferują spędzanie czasu w lesie. Większość z nich ma ponad 10 lat doświadczenia zawodowego i pracuje w administracji publicznej, nieruchomościach czy motoryzacji. Ich główną motywacją jest nowa kariera.'}"
35-44,Średnie,Psy,W lesie,Kobieta,Powyżej 10 lat,E-commerce,Większe zarobki,Cluster 1,"{'name': 'Młodzi profesjonaliści', 'description': 'W tym klastrze znajdują się głównie młodsze osoby w wieku 25-34 lat, z wyższym wykształceniem, które preferują spędzanie czasu w górach. Większość z nich ma ponad 10 lat doświadczenia zawodowego i pracuje w finansach, inżynierii czy e-commerce. Ich główną motywacją są większe zarobki.'}"
35-44,Wyższe,Psy,,Mężczyzna,Brak doświadczenia,Energetyka,Pasja,Cluster 0,"{'name': 'Doświadczeni nad wodą', 'description': 'W tym klastrze znajdują się osoby w wieku 35-44 lat, z wyższym wykształceniem, które preferują spędzanie czasu nad wodą. Większość z nich ma doświadczenie zawodowe od 6 do 10 lat i pracuje w różnych branżach, takich jak IT, automatyzacja czy transport. Ich motywacją jest często nowa kariera lub pasja.'}"
35-44,Wyższe,Psy,Nad wodą,Kobieta,Powyżej 10 lat,Chemia,Polecenie znajomych,Cluster 6,"{'name': 'Doświadczeni nad wodą z psami', 'description': 'W tym klastrze znajdują się osoby w wieku 35-44 lat, z wyższym wykształceniem, które preferują spędzanie czasu nad wodą i lubią psy. Większość z nich ma ponad 10 lat doświadczenia zawodowego i pracuje w różnych branżach, takich jak automotive, wellness czy budowlana. Ich motywacją jest rozwój osobisty i pasja.'}"
35-44,Wyższe,Brak ulubionych,Nad wodą,Mężczyzna,6-10,IT,Polecenie znajomych,Cluster 0,"{'name': 'Doświadczeni nad wodą', 'description': 'W tym klastrze znajdują się osoby w wieku 35-44 lat, z wyższym wykształceniem, które preferują spędzanie czasu nad wodą. Większość z nich ma doświadczenie zawodowe od 6 do 10 lat i pracuje w różnych branżach, takich jak IT, automatyzacja czy transport. Ich motywacją jest często nowa kariera lub pasja.'}"
35-44,Wyższe,Brak ulubionych,,Mężczyzna,6-10,Automatyzacja,Pasja,Cluster 0,"{'name': 'Doświadczeni nad wodą', 'description': 'W tym klastrze znajdują się osoby w wieku 35-44 lat, z wyższym wykształceniem, które preferują spędzanie czasu nad wodą. Większość z nich ma doświadczenie zawodowe od 6 do 10 lat i pracuje w różnych branżach, takich jak IT, automatyzacja czy transport. Ich motywacją jest często nowa kariera lub pasja.'}"
45-54,Średnie,Inne,Inne,Mężczyzna,Powyżej 10 lat,Transport,Nowa kariera,Cluster 7,"{'name': 'Średnio wykształceni górale', 'description': 'W tym klastrze znajdują się osoby w wieku 25-54 lat, ze średnim wykształceniem, które preferują spędzanie czasu w górach. Większość z nich ma ponad 10 lat doświadczenia zawodowego i pracuje w IT, transporcie czy ochronie środowiska. Ich główną motywacją są polecenia znajomych i nowa kariera.'}"
45-54,Średnie,Brak ulubionych,W górach,Mężczyzna,Brak doświadczenia,Transport,Polecenie znajomych,Cluster 7,"{'name': 'Średnio wykształceni górale', 'description': 'W tym klastrze znajdują się osoby w wieku 25-54 lat, ze średnim wykształceniem, które preferują spędzanie czasu w górach. Większość z nich ma ponad 10 lat doświadczenia zawodowego i pracuje w IT, transporcie czy ochronie środowiska. Ich główną motywacją są polecenia znajomych i nowa kariera.'}"
55-64,Wyższe,Psy,Nad wodą,Mężczyzna,Powyżej 10 lat,Obsługa klienta,Większe zarobki,Cluster 6,"{'name': 'Doświadczeni nad wodą z psami', 'description': 'W tym klastrze znajdują się osoby w wieku 35-44 lat, z wyższym wykształceniem, które preferują spędzanie czasu nad wodą i lubią psy. Większość z nich ma ponad 10 lat doświadczenia zawodowego i pracuje w różnych branżach, takich jak automotive, wellness czy budowlana. Ich motywacją jest rozwój osobisty i pasja.'}"
35-44,Średnie,Psy,W górach,Mężczyzna,6-10,Opieka,Nowa kariera,Cluster 7,"{'name': 'Średnio wykształceni górale', 'description': 'W tym klastrze znajdują się osoby w wieku 25-54 lat, ze średnim wykształceniem, które preferują spędzanie czasu w górach. Większość z nich ma ponad 10 lat doświadczenia zawodowego i pracuje w IT, transporcie czy ochronie środowiska. Ich główną motywacją są polecenia znajomych i nowa kariera.'}"
35-44,Wyższe,Koty,W górach,Kobieta,Powyżej 10 lat,Administracja publiczna,Większe zarobki,Cluster 3,"{'name': 'Miłośnicy gór i kotów', 'description': 'W tym klastrze znajdują się osoby w wieku 35-44 lat, z wyższym wykształceniem, które preferują spędzanie czasu w górach i lubią koty. Większość z nich ma ponad 10 lat doświadczenia zawodowego i pracuje w logistyce, usługach czy produkcji. Ich motywacją jest rozwój osobisty, pasja i większe zarobki.'}"
45-54,Wyższe,Psy,Nad wodą,Kobieta,6-10,Finanse,Rozwój osobisty,Cluster 0,"{'name': 'Doświadczeni nad wodą', 'description': 'W tym klastrze znajdują się osoby w wieku 35-44 lat, z wyższym wykształceniem, które preferują spędzanie czasu nad wodą. Większość z nich ma doświadczenie zawodowe od 6 do 10 lat i pracuje w różnych branżach, takich jak IT, automatyzacja czy transport. Ich motywacją jest często nowa kariera lub pasja.'}"
25-34,Średnie,Koty,W lesie,Mężczyzna,Powyżej 10 lat,Poligrafia,Nowa kariera,Cluster 7,"{'name': 'Średnio wykształceni górale', 'description': 'W tym klastrze znajdują się osoby w wieku 25-54 lat, ze średnim wykształceniem, które preferują spędzanie czasu w górach. Większość z nich ma ponad 10 lat doświadczenia zawodowego i pracuje w IT, transporcie czy ochronie środowiska. Ich główną motywacją są polecenia znajomych i nowa kariera.'}"
45-54,Wyższe,Psy,Nad wodą,Mężczyzna,Powyżej 10 lat,Edukacja,Polecenie znajomych,Cluster 5,"{'name': 'Poleceni profesjonaliści', 'description': 'W tym klastrze znajdują się osoby w wieku 45-54 lat, z wyższym wykształceniem, które preferują spędzanie czasu w górach. Większość z nich ma ponad 10 lat doświadczenia zawodowego i pracuje w energetyce zawodowej, obsłudze klienta czy nieruchomościach. Ich główną motywacją są polecenia znajomych.'}"
45-54,Wyższe,Psy,Nad wodą,Mężczyzna,6-10,Wellness,Nowa kariera,Cluster 0,"{'name': 'Doświadczeni nad wodą', 'description': 'W tym klastrze znajdują się osoby w wieku 35-44 lat, z wyższym wykształceniem, które preferują spędzanie czasu nad wodą. Większość z nich ma doświadczenie zawodowe od 6 do 10 lat i pracuje w różnych branżach, takich jak IT, automatyzacja czy transport. Ich motywacją jest często nowa kariera lub pasja.'}"
35-44,Wyższe,Koty,W górach,Mężczyzna,Powyżej 10 lat,E-commerce,Nowa kariera,Cluster 3,"{'name': 'Miłośnicy gór i kotów', 'description': 'W tym klastrze znajdują się osoby w wieku 35-44 lat, z wyższym wykształceniem, które preferują spędzanie czasu w górach i lubią koty. Większość z nich ma ponad 10 lat doświadczenia zawodowego i pracuje w logistyce, usługach czy produkcji. Ich motywacją jest rozwój osobisty, pasja i większe zarobki.'}"
45-54,Wyższe,Psy,Inne,Mężczyzna,Powyżej 10 lat,E-commerce,Nowa kariera,Cluster 2,"{'name': 'Karierowicze w lesie', 'description': 'W tym klastrze znajdują się osoby w wieku 45-54 lat, z wyższym wykształceniem, które preferują spędzanie czasu w lesie. Większość z nich ma ponad 10 lat doświadczenia zawodowego i pracuje w administracji publicznej, nieruchomościach czy motoryzacji. Ich główną motywacją jest nowa kariera.'}"
45-54,Wyższe,Psy,W lesie,Mężczyzna,Powyżej 10 lat,Budowlana,Nowa kariera,Cluster 2,"{'name': 'Karierowicze w lesie', 'description': 'W tym klastrze znajdują się osoby w wieku 45-54 lat, z wyższym wykształceniem, które preferują spędzanie czasu w lesie. Większość z nich ma ponad 10 lat doświadczenia zawodowego i pracuje w administracji publicznej, nieruchomościach czy motoryzacji. Ich główną motywacją jest nowa kariera.'}"
25-34,Wyższe,Koty,,Mężczyzna,3-5,Transport,Większe zarobki,Cluster 0,"{'name': 'Doświadczeni nad wodą', 'description': 'W tym klastrze znajdują się osoby w wieku 35-44 lat, z wyższym wykształceniem, które preferują spędzanie czasu nad wodą. Większość z nich ma doświadczenie zawodowe od 6 do 10 lat i pracuje w różnych branżach, takich jak IT, automatyzacja czy transport. Ich motywacją jest często nowa kariera lub pasja.'}"
45-54,Wyższe,Brak ulubionych,Nad wodą,Mężczyzna,Powyżej 10 lat,Administracja publiczna,Rozwój osobisty,Cluster 6,"{'name': 'Doświadczeni nad wodą z psami', 'description': 'W tym klastrze znajdują się osoby w wieku 35-44 lat, z wyższym wykształceniem, które preferują spędzanie czasu nad wodą i lubią psy. Większość z nich ma ponad 10 lat doświadczenia zawodowego i pracuje w różnych branżach, takich jak automotive, wellness czy budowlana. Ich motywacją jest rozwój osobisty i pasja.'}"
45-54,Wyższe,Inne,W lesie,Mężczyzna,Powyżej 10 lat,R&D,Pasja,Cluster 4,"{'name': 'Kreatywni w lesie', 'description': 'W tym klastrze znajdują się osoby w wieku 45-54 lat, z wyższym wykształceniem, które preferują spędzanie czasu w lesie i lubią koty. Większość z nich ma ponad 10 lat doświadczenia zawodowego i pracuje w e-commerce, motoryzacji czy obsłudze klienta. Ich główną motywacją jest pasja.'}"
45-54,Wyższe,Psy,W lesie,Mężczyzna,Powyżej 10 lat,E-commerce,Nowa kariera,Cluster 2,"{'name': 'Karierowicze w lesie', 'description': 'W tym klastrze znajdują się osoby w wieku 45-54 lat, z wyższym wykształceniem, które preferują spędzanie czasu w lesie. Większość z nich ma ponad 10 lat doświadczenia zawodowego i pracuje w administracji publicznej, nieruchomościach czy motoryzacji. Ich główną motywacją jest nowa kariera.'}"
25-34,Wyższe,Psy,W górach,Mężczyzna,Powyżej 10 lat,Logistyka i Transport,Polecenie znajomych,Cluster 5,"{'name': 'Poleceni profesjonaliści', 'description': 'W tym klastrze znajdują się osoby w wieku 45-54 lat, z wyższym wykształceniem, które preferują spędzanie czasu w górach. Większość z nich ma ponad 10 lat doświadczenia zawodowego i pracuje w energetyce zawodowej, obsłudze klienta czy nieruchomościach. Ich główną motywacją są polecenia znajomych.'}"
45-54,Średnie,Inne,W górach,Mężczyzna,6-10,Hotelarstwo,Nowa kariera,Cluster 7,"{'name': 'Średnio wykształceni górale', 'description': 'W tym klastrze znajdują się osoby w wieku 25-54 lat, ze średnim wykształceniem, które preferują spędzanie czasu w górach. Większość z nich ma ponad 10 lat doświadczenia zawodowego i pracuje w IT, transporcie czy ochronie środowiska. Ich główną motywacją są polecenia znajomych i nowa kariera.'}"
18-24,Średnie,Psy,Nad wodą,Mężczyzna,6-10,Administracja publiczna,Polecenie znajomych,Cluster 7,"{'name': 'Średnio wykształceni górale', 'description': 'W tym klastrze znajdują się osoby w wieku 25-54 lat, ze średnim wykształceniem, które preferują spędzanie czasu w górach. Większość z nich ma ponad 10 lat doświadczenia zawodowego i pracuje w IT, transporcie czy ochronie środowiska. Ich główną motywacją są polecenia znajomych i nowa kariera.'}"
35-44,Wyższe,Psy,Nad wodą,Mężczyzna,6-10,Transport,Większe zarobki,Cluster 0,"{'name': 'Doświadczeni nad wodą', 'description': 'W tym klastrze znajdują się osoby w wieku 35-44 lat, z wyższym wykształceniem, które preferują spędzanie czasu nad wodą. Większość z nich ma doświadczenie zawodowe od 6 do 10 lat i pracuje w różnych branżach, takich jak IT, automatyzacja czy transport. Ich motywacją jest często nowa kariera lub pasja.'}"
